amount,pickup_time,startX,startY,endX,endY 
2,2013-11-18 16:00:00,-73.9896878,-40.7522886,-74.0027616,-40.7601759
1,2013-11-18 16:00:00,-73.990518,-40.746038,-73.9742235,-40.7597393
2,2013-11-18 16:00:00,-73.949374,-40.776876,-73.9857166,-40.7679183
1,2013-11-18 16:00:00,-73.9777264,-40.7422757,-73.982695,-40.735431
1,2013-11-18 16:00:00,-73.978116,-40.757284,-74.003714,-40.736839
2,2013-11-18 16:00:00,-73.7770685,-40.6467428,-73.9583631,-40.7688015
2,2013-11-18 16:00:00,-74.0152242,-40.7098264,-73.997303,-40.719324
1,2013-11-18 16:00:00,-73.989617,-40.747277,-73.981341,-40.758645
1,2013-11-18 16:00:00,-74.001167,-40.731774,-73.9937554,-40.7256503
2,2013-11-18 16:00:00,-74.002019,-40.740444,-73.995645,-40.744099
5,2013-11-18 16:00:00,-74.0070906,-40.7287682,-73.9831666,-40.7561419
6,2013-11-18 16:00:00,-74.009094,-40.725989,-73.998812,-40.723021
1,2013-11-18 16:00:00,-73.8739364,-40.7737968,-73.977888,-40.748921
6,2013-11-18 16:00:00,-73.999035,-40.749638,-74.008491,-40.734094
1,2013-11-18 16:00:00,-74.005366,-40.740945,-73.965142,-40.71429
1,2013-11-18 16:00:00,-73.9588379,-40.8151825,-73.9740978,-40.7965204
4,2013-11-18 16:00:00,-73.8930602,-40.7659768,-74.0028423,-40.7282399
3,2013-11-18 16:00:00,-73.975224,-40.744505,-74.0047633,-40.7052599
1,2013-11-18 16:00:00,-73.9897914,-40.7572335,-74.001663,-40.732318
2,2013-11-18 16:00:00,-73.8625558,-40.7688802,-73.756382,-40.718516
1,2013-11-18 16:00:00,-73.9578668,-40.765245,-73.9525725,-40.7807525
1,2013-11-18 16:00:00,-73.979959,-40.743205,-73.9623806,-40.799916
4,2013-11-18 16:00:00,-73.9740539,-40.7572106,-73.9583631,-40.7688015
1,2013-11-18 16:00:00,-73.953672,-40.787901,-73.9843207,-40.7698413
1,2013-11-18 16:00:00,-73.977875,-40.754728,-74.0140568,-40.7090696
1,2013-11-18 16:00:00,-74.0131642,-40.7172994,-74.0086061,-40.7326715
2,2013-11-18 16:00:00,-73.9612503,-40.7717304,-73.984344,-40.745861
6,2013-11-18 16:00:00,-73.975591,-40.75786,-73.870419,-40.7735296
3,2013-11-18 16:00:00,-73.9967162,-40.725502,-73.9620316,-40.7737343
1,2013-11-18 16:00:00,-73.9885656,-40.7691032,-73.985046,-40.747773
1,2013-11-18 16:00:00,-73.967152,-40.756766,-73.9903443,-40.724929
6,2013-11-18 16:00:00,-73.9764349,-40.7882867,-73.9480817,-40.7746141
1,2013-11-18 16:00:00,-73.9973838,-40.7621219,-73.986393,-40.745921
1,2013-11-18 16:00:00,-73.954817,-40.789205,-73.9609186,-40.7808558
2,2013-11-18 16:00:00,-73.9578726,-40.7694751,-73.971217,-40.755193
1,2013-11-18 16:00:00,-73.9881498,-40.7319637,-73.9962976,-40.7533937
1,2013-11-18 16:00:00,-73.984441,-40.733033,-73.994118,-40.735313
1,2013-11-18 16:00:00,-73.9749705,-40.7485013,-73.9703295,-40.7623299
1,2013-11-18 16:00:00,-73.9630866,-40.7750035,-73.979076,-40.766876
2,2013-11-18 16:00:00,-73.7880273,-40.6417125,-73.9783444,-40.7482941
2,2013-11-18 16:00:00,-74.010542,-40.709154,-73.9879285,-40.7597869
2,2013-11-18 16:00:00,-74.016198,-40.714767,-73.995018,-40.73986
2,2013-11-18 16:00:00,-73.9737519,-40.7545964,-73.983549,-40.734261
2,2013-11-18 16:00:00,-73.9733087,-40.7609894,-73.7898948,-40.6468309
1,2013-11-18 16:00:00,-73.991563,-40.749706,-73.983177,-40.744562
