day,date,amount of pick_ups,amount of analytics.taxi's
Tuesday,2013-01-01 00:00:00,25433,9866
Tuesday,2013-11-01 01:00:00,23175,9052
Tuesday,2013-11-01 02:00:00,18881,7756
Tuesday,2013-11-01 03:00:00,13536,6142
Tuesday,2013-11-01 04:00:00,9111,4459
Tuesday,2013-11-01 05:00:00,7046,3747
Tuesday,2013-11-01 06:00:00,12560,5609
Tuesday,2013-11-01 07:00:00,22576,8420
Tuesday,2013-11-01 08:00:00,26946,9728
Tuesday,2013-11-01 09:00:00,26103,10262
Tuesday,2013-11-01 10:00:00,24219,10329
Tuesday,2013-11-01 11:00:00,22742,10226
Tuesday,2013-11-01 12:00:00,23305,9676
Tuesday,2013-11-01 13:00:00,22691,8913
Tuesday,2013-11-01 14:00:00,24127,9901
Tuesday,2013-11-01 15:00:00,21712,9325
Tuesday,2013-11-01 16:00:00,16990,8315
Tuesday,2013-11-01 17:00:00,21121,9490
Tuesday,2013-11-01 18:00:00,26903,10755
Tuesday,2013-11-01 19:00:00,30769,11233
Tuesday,2013-11-01 20:00:00,31623,11263
Tuesday,2013-11-01 21:00:00,30781,10953
Tuesday,2013-11-01 22:00:00,32312,11026
Tuesday,2013-11-01 23:00:00,31983,11059
Wednesday,2013-11-02 00:00:00,29411,10710
Wednesday,2013-11-02 01:00:00,26335,10029
Wednesday,2013-11-02 02:00:00,22301,8886
Wednesday,2013-11-02 03:00:00,16540,7277
Wednesday,2013-11-02 04:00:00,10452,5242
Wednesday,2013-11-02 05:00:00,5140,3106
Wednesday,2013-11-02 06:00:00,5364,3327
Wednesday,2013-11-02 07:00:00,8712,4770
Wednesday,2013-11-02 08:00:00,12292,6211
Wednesday,2013-11-02 09:00:00,18224,7665
Wednesday,2013-11-02 10:00:00,21436,8518
Wednesday,2013-11-02 11:00:00,23883,9243
Wednesday,2013-11-02 12:00:00,26279,9544
Wednesday,2013-11-02 13:00:00,26583,9695
Wednesday,2013-11-02 14:00:00,25391,9690
Wednesday,2013-11-02 15:00:00,26065,9426
Wednesday,2013-11-02 16:00:00,22206,8585
Wednesday,2013-11-02 17:00:00,25654,9106
Wednesday,2013-11-02 18:00:00,30589,10163
Wednesday,2013-11-02 19:00:00,32655,10467
Wednesday,2013-11-02 20:00:00,31205,10722
Wednesday,2013-11-02 21:00:00,30075,10599
Wednesday,2013-11-02 22:00:00,31745,10770
Wednesday,2013-11-02 23:00:00,33165,10853
Thursday,2013-11-03 00:00:00,32306,10668
Thursday,2013-11-03 01:00:00,50605,10556
Thursday,2013-11-03 02:00:00,19729,8306
Thursday,2013-11-03 03:00:00,14339,6701
Thursday,2013-11-03 04:00:00,8633,4528
Thursday,2013-11-03 05:00:00,7315,3470
Thursday,2013-11-03 06:00:00,6517,3647
Thursday,2013-11-03 07:00:00,7121,4090
Thursday,2013-11-03 08:00:00,9364,4860
Thursday,2013-11-03 09:00:00,13498,5898
Thursday,2013-11-03 10:00:00,18151,6798
Thursday,2013-11-03 11:00:00,21181,7380
Thursday,2013-11-03 12:00:00,22703,7677
Thursday,2013-11-03 13:00:00,22644,7995
Thursday,2013-11-03 14:00:00,22062,8149
Thursday,2013-11-03 15:00:00,21740,8191
Thursday,2013-11-03 16:00:00,19863,7772
Thursday,2013-11-03 17:00:00,21642,8096
Thursday,2013-11-03 18:00:00,25758,8700
Thursday,2013-11-03 19:00:00,26609,8880
Thursday,2013-11-03 20:00:00,24785,8794
Thursday,2013-11-03 21:00:00,22452,8454
Thursday,2013-11-03 22:00:00,19858,7753
Thursday,2013-11-03 23:00:00,13731,6487
Friday,2013-11-04 00:00:00,8771,4672
Friday,2013-11-04 01:00:00,4885,2884
Friday,2013-11-04 02:00:00,3054,1903
Friday,2013-11-04 03:00:00,2251,1497
Friday,2013-11-04 04:00:00,2951,1931
Friday,2013-11-04 05:00:00,5279,3219
