licence,capacity,start_time,startX,startY 
2013003403,4,2013-11-18 15:00:00,-73.9752226,-40.7552254
2013004486,5,2013-11-18 15:00:00,-73.9519488,-40.7651016
2013006835,6,2013-11-18 15:00:00,-73.9881523,-40.737729
2013006408,6,2013-11-18 15:00:00,-73.9722156,-40.7498059
2013006431,6,2013-11-18 15:00:00,-74.006811,-40.744061
2013002241,2,2013-11-18 15:00:00,-73.9895711,-40.702514
2013002441,6,2013-11-18 15:00:00,-73.7906294,-40.6441933
2013007321,6,2013-11-18 15:00:00,-73.9912191,-40.7277093
2013003795,5,2013-11-18 15:00:00,-73.9939499,-40.7515228
2013012072,1,2013-11-18 15:00:00,-73.992805,-40.742901
2013006052,3,2013-11-18 15:00:00,-73.9421296,-40.7979309
2013000034,5,2013-11-18 15:00:00,-73.966537,-40.77314
2013008275,6,2013-11-18 15:00:00,-73.9623806,-40.799916
2013001158,6,2013-11-18 15:00:00,-73.9715991,-40.7438304
2013011786,5,2013-11-18 15:00:00,-73.9849354,-40.7363766
2013000640,5,2013-11-18 15:00:00,-73.8665728,-40.7711454
2013006126,2,2013-11-18 15:00:00,-73.9770038,-40.7876214
2013012084,2,2013-11-18 15:00:00,-74.00373,-40.72625
2013008895,6,2013-11-18 15:00:00,-73.9611049,-40.7690611
2013013272,6,2013-11-18 15:00:00,-73.966794,-40.8042094
2013008650,6,2013-11-18 15:00:00,-73.9704968,-40.7648423
2013004857,6,2013-11-18 15:00:00,-73.9661079,-40.789736
2013003633,6,2013-11-18 15:00:00,-73.9695848,-40.7660912
2013005011,5,2013-11-18 15:00:00,-73.9939499,-40.7515228
2013006265,4,2013-11-18 15:00:00,-73.99312,-40.736691
2013001385,3,2013-11-18 15:00:00,-73.992139,-40.7591031
2013009464,3,2013-11-18 15:00:00,-73.9780038,-40.7863907
2013007172,6,2013-11-18 15:00:00,-74.001167,-40.731774
2013004763,3,2013-11-18 15:00:00,-73.9714037,-40.7635979
2013002840,4,2013-11-18 15:00:00,-73.96561,-40.774407
2013012670,2,2013-11-18 15:00:00,-73.9821224,-40.7738325
2013008007,4,2013-11-18 15:00:00,-73.9883858,-40.7591595
2013008223,4,2013-11-18 15:00:00,-73.994547,-40.729406
2013008279,6,2013-11-18 15:00:00,-73.98073,-40.782439
2013010088,6,2013-11-18 15:00:00,-73.986393,-40.745921
2013004838,5,2013-11-18 15:00:00,-73.991798,-40.738504
2013001828,2,2013-11-18 15:00:00,-73.982912,-40.742026
2013002543,6,2013-11-18 15:00:00,-73.9547388,-40.7833046
2013002139,6,2013-11-18 15:00:00,-73.9527214,-40.7723305
2013007109,6,2013-11-18 15:00:00,-73.9785141,-40.7368726
2013011883,4,2013-11-18 15:00:00,-73.9907376,-40.7365258
2013008738,2,2013-11-18 15:00:00,-73.9742235,-40.7597393
2013004580,4,2013-11-18 15:00:00,-73.98209,-40.7746427
2013007357,5,2013-11-18 15:00:00,-73.9719073,-40.7571246
2013005562,5,2013-11-18 15:00:00,-73.971682,-40.7946106
2013012467,4,2013-11-18 15:00:00,-73.7770685,-40.6467428
2013007762,6,2013-11-18 15:00:00,-73.9638711,-40.7570079
2013004864,6,2013-11-18 15:00:00,-73.9452574,-40.7784828
2013006351,6,2013-11-18 15:00:00,-73.967727,-40.762851
2013009919,6,2013-11-18 15:00:00,-73.9656637,-40.7903601
2013012460,2,2013-11-18 15:00:00,-73.9555782,-40.7726201
2013001094,6,2013-11-18 15:00:00,-74.000703,-40.742254
2013008851,4,2013-11-18 15:00:00,-73.991375,-40.739088
2013006879,2,2013-11-18 15:00:00,-73.973045,-40.752692
2013008525,6,2013-11-18 15:00:00,-73.95175,-40.766012
2013010690,6,2013-11-18 15:00:00,-73.8739364,-40.7737968
2013006969,2,2013-11-18 15:00:00,-73.9789844,-40.750313
2013006360,4,2013-11-18 15:00:00,-73.9556525,-40.7820524
2013003294,6,2013-11-18 15:00:00,-73.9641825,-40.7703607
2013010508,6,2013-11-18 15:00:00,-73.953889,-40.790471
2013007374,6,2013-11-18 15:00:00,-73.97282,-40.75587
2013010223,3,2013-11-18 15:00:00,-73.978783,-40.753481
2013001762,6,2013-11-18 15:00:00,-73.9769665,-40.7559713
2013006861,2,2013-11-18 15:00:00,-73.973465,-40.763659
2013008261,2,2013-11-18 15:00:00,-73.981668,-40.7794945
2013005542,6,2013-11-18 15:00:00,-73.9742235,-40.7597393
2013011973,5,2013-11-18 15:00:00,-73.991563,-40.749706
2013008645,5,2013-11-18 15:00:00,-73.978601,-40.762396
2013013381,6,2013-11-18 15:00:00,-73.9471299,-40.7716972
2013006631,5,2013-11-18 15:00:00,-73.976234,-40.765675
2013010094,3,2013-11-18 15:00:00,-73.945267,-40.774252
2013006895,6,2013-11-18 15:00:00,-73.9820716,-40.7787704
2013010596,2,2013-11-18 15:00:00,-73.9752226,-40.7552254
2013003250,2,2013-11-18 15:00:00,-73.956083,-40.763667
2013010887,4,2013-11-18 15:00:00,-73.981109,-40.744498
2013012777,2,2013-11-18 15:00:00,-73.9881523,-40.737729
2013006392,5,2013-11-18 15:00:00,-73.7906294,-40.6441933
2013008647,5,2013-11-18 15:00:00,-73.997862,-40.741056
2013007727,2,2013-11-18 15:00:00,-73.9706085,-40.7615514
2013007144,2,2013-11-18 15:00:00,-73.973571,-40.779478
2013004138,6,2013-11-18 15:00:00,-73.997805,-40.736032
2013013403,5,2013-11-18 15:00:00,-73.977196,-40.764324
2013009559,1,2013-11-18 15:00:00,-73.974111,-40.7639334
2013008055,6,2013-11-18 15:00:00,-73.9476028,-40.7835456
2013010111,6,2013-11-18 15:00:00,-73.9654336,-40.7717839
2013007782,5,2013-11-18 15:00:00,-73.9654448,-40.7659843
2013013350,6,2013-11-18 15:00:00,-73.9904253,-40.766548
2013010191,4,2013-11-18 15:00:00,-73.987726,-40.738317
2013005169,6,2013-11-18 15:00:00,-73.982473,-40.748432
2013002981,5,2013-11-18 15:00:00,-73.9873016,-40.7389006
2013009428,6,2013-11-18 15:00:00,-73.9971275,-40.7223037
2013000616,2,2013-11-18 15:00:00,-73.9814414,-40.7635839
2013004468,5,2013-11-18 15:00:00,-73.966157,-40.753878
2013000719,4,2013-11-18 15:00:00,-73.9880635,-40.7490333
2013003032,6,2013-11-18 15:00:00,-73.9828071,-40.7617189
2013006911,6,2013-11-18 15:00:00,-73.9686338,-40.7616111
2013012913,6,2013-11-18 15:00:00,-73.8713344,-40.7738377
2013006943,6,2013-11-18 15:00:00,-73.9603164,-40.7730129
2013010174,5,2013-11-18 15:00:00,-73.985488,-40.752935
2013011200,6,2013-11-18 15:00:00,-73.9527041,-40.7765623
2013000433,5,2013-11-18 15:00:00,-73.9678348,-40.765354
2013006635,6,2013-11-18 15:00:00,-73.9917229,-40.7263629
2013002962,6,2013-11-18 15:00:00,-73.9895958,-40.7415497
2013012231,5,2013-11-18 15:00:00,-73.9639283,-40.8080126
2013007177,2,2013-11-18 15:00:00,-73.9536285,-40.7752903
2013002167,6,2013-11-18 15:00:00,-73.9805809,-40.7832069
2013005095,4,2013-11-18 15:00:00,-73.9814054,-40.7469965
2013004122,6,2013-11-18 15:00:00,-73.984529,-40.742708
2013012292,5,2013-11-18 15:00:00,-73.995645,-40.744099
2013010681,6,2013-11-18 15:00:00,-74.005366,-40.740945
2013007749,6,2013-11-18 15:00:00,-73.9775627,-40.7520707
2013013181,2,2013-11-18 15:00:00,-73.9526675,-40.7866018
2013009463,4,2013-11-18 15:00:00,-74.011947,-40.707452
2013010365,6,2013-11-18 15:00:00,-73.9654336,-40.7717839
2013005858,5,2013-11-18 15:00:00,-73.9838932,-40.746494
2013008904,6,2013-11-18 15:00:00,-73.95175,-40.766012
2013004173,3,2013-11-18 15:00:00,-73.9687465,-40.7641041
2013004113,6,2013-11-18 15:00:00,-74.0070906,-40.7287682
2013008767,4,2013-11-18 15:00:00,-73.9782029,-40.7513124
2013010563,4,2013-11-18 15:00:00,-73.9792861,-40.7528022
2013003664,6,2013-11-18 15:00:00,-74.005781,-40.725674
2013000049,6,2013-11-18 15:00:00,-74.0021986,-40.7296932
2013005443,6,2013-11-18 15:00:00,-73.98456,-40.748439
2013007450,4,2013-11-18 15:00:00,-73.9583631,-40.7688015
2013004879,6,2013-11-18 15:00:00,-74.008823,-40.716014
2013002488,6,2013-11-18 15:00:00,-73.949421,-40.7810592
2013012649,1,2013-11-18 15:00:00,-73.9731488,-40.7650879
2013012475,2,2013-11-18 15:00:00,-73.9717336,-40.7820374
2013005252,1,2013-11-18 15:00:00,-73.7844063,-40.6486035
2013005580,6,2013-11-18 15:00:00,-73.966794,-40.8042094
2013003262,4,2013-11-18 15:00:00,-73.9509262,-40.7858671
2013010921,6,2013-11-18 15:00:00,-73.9797549,-40.7811846
2013006140,2,2013-11-18 15:00:00,-73.977655,-40.757912
2013003266,6,2013-11-18 15:00:00,-73.9544814,-40.778137
2013004069,6,2013-11-18 15:00:00,-73.990123,-40.737796
2013011025,6,2013-11-18 15:00:00,-73.9638433,-40.7653085
2013012850,6,2013-11-18 15:00:00,-74.010182,-40.720115
2013006903,6,2013-11-18 15:00:00,-73.9573054,-40.7742676
2013004150,5,2013-11-18 15:00:00,-73.9709542,-40.7642198
2013007770,5,2013-11-18 15:00:00,-73.975343,-40.741274
2013012178,2,2013-11-18 15:00:00,-73.9769869,-40.7501558
2013011160,3,2013-11-18 15:00:00,-73.7842776,-40.6436338
2013007543,6,2013-11-18 15:00:00,-73.9536184,-40.7852953
2013000587,4,2013-11-18 15:00:00,-73.9591761,-40.7717042
2013002800,2,2013-11-18 15:00:00,-73.9703295,-40.7623299
2013011789,5,2013-11-18 15:00:00,-73.7907874,-40.6558385
2013001190,2,2013-11-18 15:00:00,-73.985043,-40.753554
2013011043,6,2013-11-18 15:00:00,-73.982657,-40.727261
2013008513,5,2013-11-18 15:00:00,-73.995018,-40.73986
2013002955,5,2013-11-18 15:00:00,-73.9504717,-40.7713798
2013006332,6,2013-11-18 15:00:00,-74.011674,-40.709687
2013002617,3,2013-11-18 15:00:00,-73.9892986,-40.7579071
2013000448,6,2013-11-18 15:00:00,-73.8641309,-40.7698016
2013012758,5,2013-11-18 15:00:00,-73.9582529,-40.7729692
2013005116,3,2013-11-18 15:00:00,-73.9983286,-40.7608279
2013006883,3,2013-11-18 15:00:00,-73.985488,-40.752935
2013011189,5,2013-11-18 15:00:00,-73.9357533,-40.7557981
2013004946,4,2013-11-18 15:00:00,-73.9611049,-40.7690611
